chunk_id,parent_structure_id,document_id,document_title,document_short_title,source_file,publication_date,publisher,pdf_page_start,pdf_page_end,printed_page_start,printed_page_end,source_locator,chapter,section,subsection,chunk_type,chunk_text,chunk_char_count,token_count_est,keywords_en,keywords_ko,summary_ko,embedding_text,citation_text,content_function,mode_relevance,retrieval_priority,security_class,answer_limit_note,processing_status,review_required,version
AFDP1_1_2023_META_0001,AFDP1_1_2023_STRUCT_0001,AFDP1_1_2023,"Air Force Doctrine Publication 1-1, Mission Command",AFDP 1-1 Mission Command,AFDP 1-1 Mission Command.pdf,14 August 2023,U.S. Air Force,1,1,,,PDF p. 1-1; printed p. -,Front Matter,Cover,,front_matter_cover,"AIR FORCE DOCTRINE PUBLICATION 1-1
MISSION COMMAND 14 August 2023",65,17,cover; title; publication date,표지; 제목; 발간일,표지와 발간일 정보를 보존한 청크이다.,"Document: AFDP 1-1 Mission Command
Chapter: Front Matter
Section: Cover
Subsection: 
Keywords: cover; title; publication date; 표지; 제목; 발간일
Text: AIR FORCE DOCTRINE PUBLICATION 1-1
MISSION COMMAND 14 August 2023","AFDP 1-1 Mission Command, Cover, PDF p. 1-1",front_matter;document_context,qa;staff_advice;doctrine_lookup,low,public,Use only as source-grounded doctrine context; cite source locator.,processed,YES,v1.0
AFDP1_1_2023_META_0002,AFDP1_1_2023_STRUCT_0002,AFDP1_1_2023,"Air Force Doctrine Publication 1-1, Mission Command",AFDP 1-1 Mission Command,AFDP 1-1 Mission Command.pdf,14 August 2023,U.S. Air Force,2,2,,,PDF p. 2-2; printed p. -,Front Matter,Table of Contents,,front_matter_toc,"Table of Contents
MISSION COMMAND IN THE AIR FORCE .................................................................... 1 WHAT MISSION COMMAND IS .................................................................................. 1 THE PRINCIPLES OF MISSION COMMAND ............................................................. 8 WHAT MISSION COMMAND IS NOT ....................................................................... 13 THE FIVE Cs OF MISSION COMMAND ................................................................... 15 CONCLUSION .............................................................................................................. 17 REFERENCES .............................................................................................................. 18",783,196,table of contents; mission command sections,목차; 임무형 지휘 절 구조,목차와 문서 구조를 보존한 청크이다.,"Document: AFDP 1-1 Mission Command
Chapter: Front Matter
Section: Table of Contents
Subsection: 
Keywords: table of contents; mission command sections; 목차; 임무형 지휘 절 구조
Text: Table of Contents
MISSION COMMAND IN THE AIR FORCE .................................................................... 1 WHAT MISSION COMMAND IS .................................................................................. 1 THE PRINCIPLES OF MISSION COMMAND ............................................................. 8 WHAT MISSION COMMAND IS NOT ....................................................................... 13 THE FIVE Cs OF MISSION COMMAND ................................................................... 15 CONCLUSION .............................................................................................................. 17 REFERENCES .............................................................................................................. 18","AFDP 1-1 Mission Command, Table of Contents, PDF p. 2-2",front_matter;document_context,qa;staff_advice;doctrine_lookup,low,public,Use only as source-grounded doctrine context; cite source locator.,processed,NO,v1.0
AFDP1_1_2023_BODY_0003,AFDP1_1_2023_STRUCT_0003,AFDP1_1_2023,"Air Force Doctrine Publication 1-1, Mission Command",AFDP 1-1 Mission Command,AFDP 1-1 Mission Command.pdf,14 August 2023,U.S. Air Force,3,3,,,PDF p. 3-3; printed p. -,Front Matter,Foreword,,body_doctrine,FOREWORD,8,2,foreword; doctrine; mission command; DOTMLPF-P; Airman perspective,서문; 교리; 임무형 지휘; 공군 관점; DOTMLPF-P,"공군 임무형 지휘 교리의 목적과 배경, 분권화 필요성, DOTMLPF-P 차원의 변화 필요성을 설명한다.","Document: AFDP 1-1 Mission Command
Chapter: Front Matter
Section: Foreword
Subsection: 
Keywords: foreword; doctrine; mission command; DOTMLPF-P; Airman perspective; 서문; 교리; 임무형 지휘; 공군 관점; DOTMLPF-P
Text: FOREWORD","AFDP 1-1 Mission Command, Foreword, PDF p. 3-3",doctrine_reference;operational_context,qa;staff_advice;doctrine_lookup,low,public,Use only as source-grounded doctrine context; cite source locator.,processed,YES,v1.0
AFDP1_1_2023_BODY_0004,AFDP1_1_2023_STRUCT_0003,AFDP1_1_2023,"Air Force Doctrine Publication 1-1, Mission Command",AFDP 1-1 Mission Command,AFDP 1-1 Mission Command.pdf,14 August 2023,U.S. Air Force,3,3,,,PDF p. 3-3; printed p. -,Front Matter,Foreword,,body_doctrine,"FOREWORD

This Air Force Doctrine Publication (AFDP) clarifies current operational doctrine by providing further detail regarding the Airman’s perspective on mission command. The achievement of joint force objectives with airpower relies on the ability to mass, coordinate, and synchronize air operations with a globally informed, theater-wide perspective. The application of mission command in the US Air Force (USAF) is distinct from the other services. This AFDP presents mission command through the Airman’s perspective. Though the USAF doctrine has historically focused on decentralized execution, the operational environment the last few decades have instead typified centralization at all levels. While USAF doctrine unwaveringly espoused the strengths and advantages of decentralization throughout this period, many elements of USAF architecture have deeply embraced centralization. However, future contested, degraded, or operationally limited environments may impede these efficiencies, necessitating a pivot towards decentralization. This doctrine publication is a step in that direction. However, doctrine is only a single piece of the DOTMLPF-P framework.1 Achieving the vision set forward by the adoption of mission command requires comprehensive action. Actualizing mission command in the USAF will require additional planned, anticipated, and yet unknown changes in USAF organizational structures, training approaches, materiel acquisitions, leadership and education models, and personnel and manpower perspectives. This AFDP informs the impetus for these changes but can only come to life by Airmen embracing the principles described herein and applying them at all levels and in all aspects across the Service.",1728,432,foreword; doctrine; mission command; DOTMLPF-P; Airman perspective,서문; 교리; 임무형 지휘; 공군 관점; DOTMLPF-P,"공군 임무형 지휘 교리의 목적과 배경, 분권화 필요성, DOTMLPF-P 차원의 변화 필요성을 설명한다.","Document: AFDP 1-1 Mission Command
Chapter: Front Matter
Section: Foreword
Subsection: 
Keywords: foreword; doctrine; mission command; DOTMLPF-P; Airman perspective; 서문; 교리; 임무형 지휘; 공군 관점; DOTMLPF-P
Text: FOREWORD

This Air Force Doctrine Publication (AFDP) clarifies current operational doctrine by providing further detail regarding the Airman’s perspective on mission command. The achievement of joint force objectives with airpower relies on the ability to mass, coordinate, and synchronize air operations with a globally informed, theater-wide perspective. The application of mission command in the US Air Force (USAF) is distinct from the other services. This AFDP presents mission command through the Airman’s perspective. Though the USAF doctrine has historically focused on decentralized execution, the operational environment the last few decades have instead typified centralization at all levels. While USAF doctrine unwaveringly espoused the strengths and advantages of decentralization throughout this period, many elements of USAF architecture have deeply embraced centralization. However, future contested, degraded, or operationally limited environments may impede these efficiencies, necessitating a pivot towards decentralization. This doctrine publication is a step in that direction. However, doctrine is only a single piece of the DOTMLPF-P framework.1 Achieving the vision set forward by the adoption of mission command requires comprehensive action. Actualizing mission command in the USAF will require additional planned, anticipated, and yet unknown changes in USAF organizational structures, training approaches, materiel acquisitions, leadership and education models, and personnel and manpower perspectives. This AFDP informs the impetus for these changes but can only come to life by Airmen embracing the principles described herein and applying them at all levels and in all aspects across the Service.","AFDP 1-1 Mission Command, Foreword, PDF p. 3-3",doctrine_reference;operational_context,qa;staff_advice;doctrine_lookup,medium,public,Use only as source-grounded doctrine context; cite source locator.,processed,YES,v1.0
AFDP1_1_2023_BODY_0005,AFDP1_1_2023_STRUCT_0003,AFDP1_1_2023,"Air Force Doctrine Publication 1-1, Mission Command",AFDP 1-1 Mission Command,AFDP 1-1 Mission Command.pdf,14 August 2023,U.S. Air Force,3,3,,,PDF p. 3-3; printed p. -,Front Matter,Foreword,,body_doctrine,"1 Doctrine, organization, training, materiel, leadership and education, personnel, facilities, and policy.",106,27,foreword; doctrine; mission command; DOTMLPF-P; Airman perspective,서문; 교리; 임무형 지휘; 공군 관점; DOTMLPF-P,"공군 임무형 지휘 교리의 목적과 배경, 분권화 필요성, DOTMLPF-P 차원의 변화 필요성을 설명한다.","Document: AFDP 1-1 Mission Command
Chapter: Front Matter
Section: Foreword
Subsection: 
Keywords: foreword; doctrine; mission command; DOTMLPF-P; Airman perspective; 서문; 교리; 임무형 지휘; 공군 관점; DOTMLPF-P
Text: 1 Doctrine, organization, training, materiel, leadership and education, personnel, facilities, and policy.","AFDP 1-1 Mission Command, Foreword, PDF p. 3-3",doctrine_reference;operational_context,qa;staff_advice;doctrine_lookup,low,public,Use only as source-grounded doctrine context; cite source locator.,processed,YES,v1.0
AFDP1_1_2023_BODY_0006,AFDP1_1_2023_STRUCT_0004,AFDP1_1_2023,"Air Force Doctrine Publication 1-1, Mission Command",AFDP 1-1 Mission Command,AFDP 1-1 Mission Command.pdf,14 August 2023,U.S. Air Force,4,4,1,1,PDF p. 4-4; printed p. 1-1,Mission Command in the Air Force,What Mission Command Is,,body_doctrine,"MISSION COMMAND IN THE AIR FORCE

WHAT MISSION COMMAND IS",57,15,mission command; centralized command; distributed control; decentralized execution; commander intent; airpower,임무형 지휘; 중앙집중 지휘; 분산통제; 분권화 실행; 지휘관 의도; 항공력,"공군 임무형 지휘의 정의와 CC-DC-DE 프레임워크, 지휘관 의도 기반 분권화 실행의 필요성을 설명한다.","Document: AFDP 1-1 Mission Command
Chapter: Mission Command in the Air Force
Section: What Mission Command Is
Subsection: 
Keywords: mission command; centralized command; distributed control; decentralized execution; commander intent; airpower; 임무형 지휘; 중앙집중 지휘; 분산통제; 분권화 실행; 지휘관 의도; 항공력
Text: MISSION COMMAND IN THE AIR FORCE

WHAT MISSION COMMAND IS","AFDP 1-1 Mission Command, What Mission Command Is, PDF p. 4-4",doctrine_reference;operational_context,qa;staff_advice;doctrine_lookup,low,public,Use only as source-grounded doctrine context; cite source locator.,processed,YES,v1.0
AFDP1_1_2023_BODY_0007,AFDP1_1_2023_STRUCT_0004,AFDP1_1_2023,"Air Force Doctrine Publication 1-1, Mission Command",AFDP 1-1 Mission Command,AFDP 1-1 Mission Command.pdf,14 August 2023,U.S. Air Force,4,4,1,1,PDF p. 4-4; printed p. 1-1,Mission Command in the Air Force,What Mission Command Is,,body_doctrine,"WHAT MISSION COMMAND IS

Mission command is a philosophy of leadership that empowers Airmen to operate in uncertain, complex, and rapidly changing environments through trust, shared awareness, and understanding of commander’s intent. The hallmark of mission com- mand is decentralized execution through the delegation of authority to empower subordinate decision-making and enable flexibility, initiative, and responsiveness in the accomplishment of commander’s intent. In practice, mission command should provide Airmen with the freedom of action needed to exploit rapidly developing opportunities and succeed. Airmen should be trained to plan and execute operations in a distributed and decentralized manner and execute missions when isolated from higher-level decision makers. Airmen at all levels should be comfortable making decisions and operating based on commander’s intent and the principles of mission command. A mission command philosophy is not unique to the USAF. However, because of airpower’s inherent attributes, the way the USAF applies mission command has distinct characteristics. According to Air Force Doctrine Publication 1 (AFDP 1), The Air Force, Centralized Command—Distributed Control—Decentralized Execution (CC-DC-DE) is the method by which Airmen execute mission command. The term “mission command” has been used for many years to describe an approach to command and control (C2) built on decentralized execution by trusted, competent, and properly resourced commanders. The origin of the approach began with Helmuth von Moltke under the term “weisungen” (roughly translated as “orders” or “instructions”). Moltke recognized the evolving character of war had greatly increased the “fog and friction” elements, preventing centrally controlled and overly detailed command. His ap- proach dictated an overarching commander’s intent but refrained from restricting subordinate commanders to a single approach. His quote, “Provide subordinates only that information that they cannot determine on their own,” remains excellent guidance on how to craft a commander’s intent statement. As warfare became increasingly complex, this approach continued to evolve into a philosophy governing C2 at all echelons focused on decentralized execution at the lowest practical level. For the USAF, mission command provides a framework for the continued evolution of decentralized operations that originated during World War II when the allocation of air assets shifted from the practice of piece-meal “penny packeting” towards operations guided by the tenet of centralized control and decentralized execution (CC-DE). The THE DUAL NATURE OF MISSION COMMAND TERMINOLOGY Mission command refers to the effective execution of decentralized operations within the framework of CC-DC-DE AND to the philosophical, organizational, and cultural elements that must be in place to do so. When discussing mission command, Airmen should clarify which aspect of mission command is being discussed.",2991,748,mission command; centralized command; distributed control; decentralized execution; commander intent; airpower,임무형 지휘; 중앙집중 지휘; 분산통제; 분권화 실행; 지휘관 의도; 항공력,"공군 임무형 지휘의 정의와 CC-DC-DE 프레임워크, 지휘관 의도 기반 분권화 실행의 필요성을 설명한다.","Document: AFDP 1-1 Mission Command
Chapter: Mission Command in the Air Force
Section: What Mission Command Is
Subsection: 
Keywords: mission command; centralized command; distributed control; decentralized execution; commander intent; airpower; 임무형 지휘; 중앙집중 지휘; 분산통제; 분권화 실행; 지휘관 의도; 항공력
Text: WHAT MISSION COMMAND IS

Mission command is a philosophy of leadership that empowers Airmen to operate in uncertain, complex, and rapidly changing environments through trust, shared awareness, and understanding of commander’s intent. The hallmark of mission com- mand is decentralized execution through the delegation of authority to empower subordinate decision-making and enable flexibility, initiative, and responsiveness in the accomplishment of commander’s intent. In practice, mission command should provide Airmen with the freedom of action needed to exploit rapidly developing opportunities and succeed. Airmen should be trained to plan and execute operations in a distributed and decentralized manner and execute missions when isolated from higher-level decision makers. Airmen at all levels should be comfortable making decisions and operating based on commander’s intent and the principles of mission command. A mission command philosophy is not unique to the USAF. However, because of airpower’s inherent attributes, the way the USAF applies mission command has distinct characteristics. According to Air Force Doctrine Publication 1 (AFDP 1), The Air Force, Centralized Command—Distributed Control—Decentralized Execution (CC-DC-DE) is the method by which Airmen execute mission command. The term “mission command” has been used for many years to describe an approach to command and control (C2) built on decentralized execution by trusted, competent, and properly resourced commanders. The origin of the approach began with Helmuth von Moltke under the term “weisungen” (roughly translated as “orders” or “instructions”). Moltke recognized the evolving character of war had greatly increased the “fog and friction” elements, preventing centrally controlled and overly detailed command. His ap- proach dictated an overarching commander’s intent but refrained from restricting subordinate commanders to a single approach. His quote, “Provide subordinates only that information that they cannot determine on their own,” remains excellent guidance on how to craft a commander’s intent statement. As warfare became increasingly complex, this approach continued to evolve into a philosophy governing C2 at all echelons focused on decentralized execution at the lowest practical level. For the USAF, mission command provides a framework for the continued evolution of decentralized operations that originated during World War II when the allocation of air assets shifted from the practice of piece-meal “penny packeting” towards operations guided by the tenet of centralized control and decentralized execution (CC-DE). The THE DUAL NATURE OF MISSION COMMAND TERMINOLOGY Mission command refers to the effective execution of decentralized operations within the framework of CC-DC-DE AND to the philosophical, organizational, and cultural elements that must be in place to do so. When discussing mission command, Airmen should clarify which aspect of mission command is being discussed.","AFDP 1-1 Mission Command, What Mission Command Is, PDF p. 4-4",doctrine_reference;operational_context,qa;staff_advice;doctrine_lookup,high,public,Use only as source-grounded doctrine context; cite source locator.,processed,YES,v1.0
AFDP1_1_2023_BODY_0008,AFDP1_1_2023_STRUCT_0004,AFDP1_1_2023,"Air Force Doctrine Publication 1-1, Mission Command",AFDP 1-1 Mission Command,AFDP 1-1 Mission Command.pdf,14 August 2023,U.S. Air Force,5,5,2,2,PDF p. 5-5; printed p. 2-2,Mission Command in the Air Force,What Mission Command Is,,body_doctrine,"fundamental truth that underpinned that shift remains true today: to fully capitalize airpower’s advantages (speed, range, flexibility, and lethality), authority should be delegated to subordinate commanders and decision makers. Doing so requires mutual trust and enables further advantage through initiative and tactical flexibility. To achieve this aim despite the anticipated challenges posed by future contested, degraded, or operationally limited environments, fully embracing mission command is the next logical step. First and foremost, the adoption of mission command requires a Service culture that embraces and embodies mission command’s principles. Further, mission command provides a unifying framework for the development of new operating concepts, organizational approaches, and materiel solutions to enable the USAF’s historic decentralized approach. Evolving USAF organizational structures and processes focused on the distribution of control will ensure Airmen are prepared to continue operations in a decentralized manner despite the fog and friction anticipated in denied operating environments. Historic Precedent and Model for Mission Command During World War II, General George C. Kenney commanded the air forces in the Southwest Pacific Theater under General Douglas MacArthur. Facing the challenge of distance and poor communications, General Kenney implemented a novel command structure by establishing air task forces capable of independent operations. Air task forces were built around a core command, usually a bomber wing, complete with a permanent operational planning staff. They were complemented by a rotation of supporting Army Air Force, Navy, and Marine air units. General Kenney exercised centralized control by assigning units, missions, and areas of responsibility to the air task forces, but let task force commanders handle the detailed operational planning. He empowered his air commanders to the lowest practical level. He picked competent combat commanders whom he trusted and turned them loose under his general guidance. He issued periodic mission-type orders to these commanders and only tasked them for detailed special missions by exception. General Kenney’s innovative employment of air task forces as well as the philosophy and methods used in doing so show the historical precedent for mission command in air operations and serves as a model for doing so in the future. --Derived from: Michael E. Fischer. Mission-Type Orders in Joint Air Operations: The Empowerment of Air Leadership.",2537,635,mission command; centralized command; distributed control; decentralized execution; commander intent; airpower,임무형 지휘; 중앙집중 지휘; 분산통제; 분권화 실행; 지휘관 의도; 항공력,"공군 임무형 지휘의 정의와 CC-DC-DE 프레임워크, 지휘관 의도 기반 분권화 실행의 필요성을 설명한다.","Document: AFDP 1-1 Mission Command
Chapter: Mission Command in the Air Force
Section: What Mission Command Is
Subsection: 
Keywords: mission command; centralized command; distributed control; decentralized execution; commander intent; airpower; 임무형 지휘; 중앙집중 지휘; 분산통제; 분권화 실행; 지휘관 의도; 항공력
Text: fundamental truth that underpinned that shift remains true today: to fully capitalize airpower’s advantages (speed, range, flexibility, and lethality), authority should be delegated to subordinate commanders and decision makers. Doing so requires mutual trust and enables further advantage through initiative and tactical flexibility. To achieve this aim despite the anticipated challenges posed by future contested, degraded, or operationally limited environments, fully embracing mission command is the next logical step. First and foremost, the adoption of mission command requires a Service culture that embraces and embodies mission command’s principles. Further, mission command provides a unifying framework for the development of new operating concepts, organizational approaches, and materiel solutions to enable the USAF’s historic decentralized approach. Evolving USAF organizational structures and processes focused on the distribution of control will ensure Airmen are prepared to continue operations in a decentralized manner despite the fog and friction anticipated in denied operating environments. Historic Precedent and Model for Mission Command During World War II, General George C. Kenney commanded the air forces in the Southwest Pacific Theater under General Douglas MacArthur. Facing the challenge of distance and poor communications, General Kenney implemented a novel command structure by establishing air task forces capable of independent operations. Air task forces were built around a core command, usually a bomber wing, complete with a permanent operational planning staff. They were complemented by a rotation of supporting Army Air Force, Navy, and Marine air units. General Kenney exercised centralized control by assigning units, missions, and areas of responsibility to the air task forces, but let task force commanders handle the detailed operational planning. He empowered his air commanders to the lowest practical level. He picked competent combat commanders whom he trusted and turned them loose under his general guidance. He issued periodic mission-type orders to these commanders and only tasked them for detailed special missions by exception. General Kenney’s innovative employment of air task forces as well as the philosophy and methods used in doing so show the historical precedent for mission command in air operations and serves as a model for doing so in the future. --Derived from: Michael E. Fischer. Mission-Type Orders in Joint Air Operations: The Empowerment of Air Leadership.","AFDP 1-1 Mission Command, What Mission Command Is, PDF p. 5-5",doctrine_reference;operational_context,qa;staff_advice;doctrine_lookup,high,public,Use only as source-grounded doctrine context; cite source locator.,processed,YES,v1.0
AFDP1_1_2023_BODY_0009,AFDP1_1_2023_STRUCT_0005,AFDP1_1_2023,"Air Force Doctrine Publication 1-1, Mission Command",AFDP 1-1 Mission Command,AFDP 1-1 Mission Command.pdf,14 August 2023,U.S. Air Force,6,6,3,3,PDF p. 6-6; printed p. 3-3,Mission Command in the Air Force,The Relationship Between Mission Command and Centralized Command—Distributed Control—Decentralized Execution,,body_doctrine,"THE RELATIONSHIP BETWEEN MISSION COMMAND AND CENTRALIZED COMMAND — DISTRIBUTED CONTROL — DECENTRALIZED EXECUTION To better understand each aspect of CC-DC-DE, it is helpful to first examine the terms command, control, and C2, and to detail the unique considerations that result from the operational context within which they are used. The joint definitions of these terms are:2

• Command: The authority that a commander in the armed forces lawfully exercises",459,115,CC-DC-DE; command; control; C2; centralized command; distributed control; decentralized execution,중앙집중 지휘; 분산통제; 분권화 실행; 지휘통제; 권한 위임,"command, control, C2의 개념과 중앙집중 지휘·분산통제·분권화 실행의 관계를 설명한다.","Document: AFDP 1-1 Mission Command
Chapter: Mission Command in the Air Force
Section: The Relationship Between Mission Command and Centralized Command—Distributed Control—Decentralized Execution
Subsection: 
Keywords: CC-DC-DE; command; control; C2; centralized command; distributed control; decentralized execution; 중앙집중 지휘; 분산통제; 분권화 실행; 지휘통제; 권한 위임
Text: THE RELATIONSHIP BETWEEN MISSION COMMAND AND CENTRALIZED COMMAND — DISTRIBUTED CONTROL — DECENTRALIZED EXECUTION To better understand each aspect of CC-DC-DE, it is helpful to first examine the terms command, control, and C2, and to detail the unique considerations that result from the operational context within which they are used. The joint definitions of these terms are:2

• Command: The authority that a commander in the armed forces lawfully exercises","AFDP 1-1 Mission Command, The Relationship Between Mission Command and Centralized Command—Distributed Control—Decentralized Execution, PDF p. 6-6",doctrine_reference;operational_context,qa;staff_advice;doctrine_lookup,low,public,Use only as source-grounded doctrine context; cite source locator.,processed,YES,v1.0
AFDP1_1_2023_BODY_0010,AFDP1_1_2023_STRUCT_0005,AFDP1_1_2023,"Air Force Doctrine Publication 1-1, Mission Command",AFDP 1-1 Mission Command,AFDP 1-1 Mission Command.pdf,14 August 2023,U.S. Air Force,6,6,3,3,PDF p. 6-6; printed p. 3-3,Mission Command in the Air Force,The Relationship Between Mission Command and Centralized Command—Distributed Control—Decentralized Execution,,body_doctrine,"• Command: The authority that a commander in the armed forces lawfully exercises

over subordinates by virtue of rank or assignment. Command at all levels is the art of motivating and directing people and organizations to accomplish assigned missions. Inherent in command is the authority a military commander lawfully exercises over subordinates, including authority to assign missions and accountability for their successful completion. Command is exercised in both the administrative and operational branches of the chain of command; however, the specific authorities differ.3 Within the operational branch, the authority to conduct military operations is derived from combatant command (COCOM) authority. COCOM is vested only in commanders of combatant commands (CCMDs)4 and cannot be delegated. With the exception of COCOM, commanders have the discretion to delegate all or some of the authorities inherent in their specified command relationships.5

• Control: Authority that may be less than full command exercised by a commander",1036,259,CC-DC-DE; command; control; C2; centralized command; distributed control; decentralized execution,중앙집중 지휘; 분산통제; 분권화 실행; 지휘통제; 권한 위임,"command, control, C2의 개념과 중앙집중 지휘·분산통제·분권화 실행의 관계를 설명한다.","Document: AFDP 1-1 Mission Command
Chapter: Mission Command in the Air Force
Section: The Relationship Between Mission Command and Centralized Command—Distributed Control—Decentralized Execution
Subsection: 
Keywords: CC-DC-DE; command; control; C2; centralized command; distributed control; decentralized execution; 중앙집중 지휘; 분산통제; 분권화 실행; 지휘통제; 권한 위임
Text: • Command: The authority that a commander in the armed forces lawfully exercises

over subordinates by virtue of rank or assignment. Command at all levels is the art of motivating and directing people and organizations to accomplish assigned missions. Inherent in command is the authority a military commander lawfully exercises over subordinates, including authority to assign missions and accountability for their successful completion. Command is exercised in both the administrative and operational branches of the chain of command; however, the specific authorities differ.3 Within the operational branch, the authority to conduct military operations is derived from combatant command (COCOM) authority. COCOM is vested only in commanders of combatant commands (CCMDs)4 and cannot be delegated. With the exception of COCOM, commanders have the discretion to delegate all or some of the authorities inherent in their specified command relationships.5

• Control: Authority that may be less than full command exercised by a commander","AFDP 1-1 Mission Command, The Relationship Between Mission Command and Centralized Command—Distributed Control—Decentralized Execution, PDF p. 6-6",doctrine_reference;operational_context,qa;staff_advice;doctrine_lookup,high,public,Use only as source-grounded doctrine context; cite source locator.,processed,NO,v1.0
