chunk_id,parent_structure_id,document_id,document_title,document_short_title,publication_date,publisher,source_file,pdf_page_start,pdf_page_end,printed_page_start,printed_page_end,chapter,section,subsection,chunk_type,chunk_text,chunk_char_count,token_count_est,content_function,mode_relevance,retrieval_priority,keywords_en,keywords_ko,summary_ko,embedding_text,citation_text,security_class,answer_limit_note,source_locator,language,processing_status,review_required,version,created_date,updated_date
FM6_0_2022_COVER_0001,FM6_0_2022_FRONT,FM6_0_2022,"FM 6-0, Commander and Staff Organization and Operations",FM 6-0,16 May 2022,"Headquarters, Department of the Army",ARN35404-FM_6-0-000-WEB-1.pdf,1,1,cover,cover,Front Matter,Cover and Distribution,,front_matter,"FM 6-0, Commander and Staff Organization and Operations. Publication date 16 May 2022. Distribution restriction: Approved for public release; distribution is unlimited. This publication supersedes FM 6-0, dated 5 May 2014. Publisher: Headquarters, Department of the Army.",271,68,document_identity;document_context,qa;staff_advice,low,commander; staff,지휘관; 참모,Front Matter / Cover and Distribution 관련 교리 내용을 설명하는 청크.,"Document: FM 6-0, Commander and Staff Organization and Operations
Chapter: Front Matter
Section: Cover and Distribution
Subsection: 
Type: front_matter
Keywords: commander, staff
Text: FM 6-0, Commander and Staff Organization and Operations. Publication date 16 May 2022. Distribution restriction: Approved for public release; distribution is unlimited. This publication supersedes FM 6-0, dated 5 May 2014. Publisher: Headquarters, Department of the Army.","FM 6-0 (16 May 2022), FM 6-0, cover: FM 6-0, Commander and Staff Organization and Operations. Publication date 16 May 2022. Distribution restriction: Approved for public release; distribution is unlimited. This publication supersedes FM 6-0, dated 5 May 2014. Publisher: Headquarters, Department of the Army.",public,Use only as doctrinal reference; do not infer classified or current unit-specific procedures beyond the cited text.,"FM 6-0, cover",en,complete,NO,v1,2026-05-07,2026-05-07
FM6_0_2022_BODY_0001,,FM6_0_2022,"FM 6-0, Commander and Staff Organization and Operations",FM 6-0,16 May 2022,"Headquarters, Department of the Army",ARN35404-FM_6-0-000-WEB-1.pdf,1,1,d,d,Front Matter,,,front_matter,")0 &200$1'(5$1'67$)) 25*$1,=$7,21$1'23(5$7,216 0$<",50,13,doctrinal_explanation;operational_context,qa;staff_advice,low,,,Front Matter 관련 교리 내용을 설명하는 청크.,"Document: FM 6-0, Commander and Staff Organization and Operations
Chapter: Front Matter
Section: 
Subsection: 
Type: front_matter
Keywords: 
Text: )0 &200$1'(5$1'67$)) 25*$1,=$7,21$1'23(5$7,216 0$<","FM 6-0 (16 May 2022), FM 6-0, d: )0 &200$1'(5$1'67$)) 25*$1,=$7,21$1'23(5$7,216 0$<",public,Use only as doctrinal reference; do not infer classified or current unit-specific procedures beyond the cited text.,"FM 6-0, d",en,complete,NO,v1,2026-05-07,2026-05-07
FM6_0_2022_BODY_0002,FM6_0_2022_STRUCT_0001,FM6_0_2022,"FM 6-0, Commander and Staff Organization and Operations",FM 6-0,16 May 2022,"Headquarters, Department of the Army",ARN35404-FM_6-0-000-WEB-1.pdf,1,1,d,d,Front Matter,DISTRIBUTION RESTRICTION:,,front_matter,Approved for public release; distribution is unlimited.,55,14,doctrinal_explanation;operational_context,qa;staff_advice,low,approved; public; release; distribution; unlimited,,Front Matter / DISTRIBUTION RESTRICTION: 관련 교리 내용을 설명하는 청크.,"Document: FM 6-0, Commander and Staff Organization and Operations
Chapter: Front Matter
Section: DISTRIBUTION RESTRICTION:
Subsection: 
Type: front_matter
Keywords: approved, public, release, distribution, unlimited
Text: Approved for public release; distribution is unlimited.","FM 6-0 (16 May 2022), FM 6-0, d: Approved for public release; distribution is unlimited.",public,Use only as doctrinal reference; do not infer classified or current unit-specific procedures beyond the cited text.,"FM 6-0, d",en,complete,NO,v1,2026-05-07,2026-05-07
FM6_0_2022_BODY_0003,FM6_0_2022_STRUCT_0003,FM6_0_2022,"FM 6-0, Commander and Staff Organization and Operations",FM 6-0,16 May 2022,"Headquarters, Department of the Army",ARN35404-FM_6-0-000-WEB-1.pdf,2,3,mil,d,Front Matter,"HEADQUARTERS, DEPARTMENT OF THE ARMY",,front_matter,This publication is available at the Army Publishing Directorate site (http://www.armypubs.army.mil/) and the Central Army Registry site (https://atiam.train.army.mil/catalog/dashboard). DISTRIBUTION RESTRICTION: Approved for public release; distribution is unlimited.,268,67,doctrinal_explanation;operational_context,qa;staff_advice,low,board,위원회,"Front Matter / HEADQUARTERS, DEPARTMENT OF THE ARMY 관련 교리 내용을 설명하는 청크.","Document: FM 6-0, Commander and Staff Organization and Operations
Chapter: Front Matter
Section: HEADQUARTERS, DEPARTMENT OF THE ARMY
Subsection: 
Type: front_matter
Keywords: board
Text: This publication is available at the Army Publishing Directorate site (http://www.armypubs.army.mil/) and the Central Army Registry site (https://atiam.train.army.mil/catalog/dashboard). DISTRIBUTION RESTRICTION: Approved for public release; distribution is unlimited.","FM 6-0 (16 May 2022), FM 6-0, mil-d: This publication is available at the Army Publishing Directorate site (http://www.armypubs.army.mil/) and the Central Army Registry site (https://atiam.train.army.mil/catalog/dashboard). DISTRIBUTION RESTRICTION: Approved for public release; distribution is unlimited.",public,Use only as doctrinal reference; do not infer classified or current unit-specific procedures beyond the cited text.,"FM 6-0, mil-d",en,complete,NO,v1,2026-05-07,2026-05-07
FM6_0_2022_BODY_0004,FM6_0_2022_STRUCT_0005,FM6_0_2022,"FM 6-0, Commander and Staff Organization and Operations",FM 6-0,16 May 2022,"Headquarters, Department of the Army",ARN35404-FM_6-0-000-WEB-1.pdf,3,3,d,d,Front Matter,No. 6-0,,front_matter,Headquarters Department of the Army,35,9,doctrinal_explanation;operational_context,qa;staff_advice,low,headquarters; department,,Front Matter / No. 6-0 관련 교리 내용을 설명하는 청크.,"Document: FM 6-0, Commander and Staff Organization and Operations
Chapter: Front Matter
Section: No. 6-0
Subsection: 
Type: front_matter
Keywords: headquarters, department
Text: Headquarters Department of the Army","FM 6-0 (16 May 2022), FM 6-0, d: Headquarters Department of the Army",public,Use only as doctrinal reference; do not infer classified or current unit-specific procedures beyond the cited text.,"FM 6-0, d",en,complete,NO,v1,2026-05-07,2026-05-07
FM6_0_2022_BODY_0005,FM6_0_2022_STRUCT_0008,FM6_0_2022,"FM 6-0, Commander and Staff Organization and Operations",FM 6-0,16 May 2022,"Headquarters, Department of the Army",ARN35404-FM_6-0-000-WEB-1.pdf,3,3,d,d,Front Matter,AND OPERATIONS,,front_matter,Page PREFACE..................................................................................................................... v INTRODUCTION ........................................................................................................ vii,253,64,doctrinal_explanation;operational_context,qa;staff_advice,low,preface; introduction,,Front Matter / AND OPERATIONS 관련 교리 내용을 설명하는 청크.,"Document: FM 6-0, Commander and Staff Organization and Operations
Chapter: Front Matter
Section: AND OPERATIONS
Subsection: 
Type: front_matter
Keywords: preface, introduction
Text: Page PREFACE..................................................................................................................... v INTRODUCTION ........................................................................................................ vii","FM 6-0 (16 May 2022), FM 6-0, d: Page PREFACE..................................................................................................................... v INTRODUCTION ........................................................................................................ vii",public,Use only as doctrinal reference; do not infer classified or current unit-specific procedures beyond the cited text.,"FM 6-0, d",en,complete,NO,v1,2026-05-07,2026-05-07
FM6_0_2022_BODY_0006,FM6_0_2022_STRUCT_0083,FM6_0_2022,"FM 6-0, Commander and Staff Organization and Operations",FM 6-0,16 May 2022,"Headquarters, Department of the Army",ARN35404-FM_6-0-000-WEB-1.pdf,3,3,d,d,Chapter 1,,,main_text,COMMAND AND CONTROL OVERVIEW ............................................................... 1-1 Command and Control ..............................................................................................1-1 Mission Command.....................................................................................................1-3 Command and Control Warfighting Function ............................................................1-3 Command and Control System .................................................................................1-4 Multinational Considerations .....................................................................................1-8 Conclusion.................................................................................................................1-9,796,199,doctrinal_explanation;operational_context,qa;staff_advice,low,command and control; mission command,지휘통제; 임무형 지휘,Chapter 1 관련 교리 내용을 설명하는 청크.,"Document: FM 6-0, Commander and Staff Organization and Operations
Chapter: Chapter 1
Section: 
Subsection: 
Type: main_text
Keywords: command and control, mission command
Text: COMMAND AND CONTROL OVERVIEW ............................................................... 1-1 Command and Control ..............................................................................................1-1 Mission Command.....................................................................................................1-3 Command and Control Warfighting Function ............................................................1-3 Command and Control System .................................................................................1-4 Multinational Considerations .....................................................................................1-8 Conclusion.................................................................................................................1-9","FM 6-0 (16 May 2022), FM 6-0, d: COMMAND AND CONTROL OVERVIEW ............................................................... 1-1 Command and Control ..............................................................................................1-1 Mission Command.....................................................................................................1-3 Command and Control Warfighting Function ............................................................1-3 Command an",public,Use only as doctrinal reference; do not infer classified or current unit-specific procedures beyond the cited text.,"FM 6-0, d",en,complete,NO,v1,2026-05-07,2026-05-07
FM6_0_2022_BODY_0007,FM6_0_2022_STRUCT_0258,FM6_0_2022,"FM 6-0, Commander and Staff Organization and Operations",FM 6-0,16 May 2022,"Headquarters, Department of the Army",ARN35404-FM_6-0-000-WEB-1.pdf,3,3,d,d,Chapter 2,,,main_text,STAFF ORGANIZATION AND ROLES .................................................................... 2-1 Purpose of Staffs.......................................................................................................2-1 Common Staff Duties and Responsibilities ...............................................................2-2 Managing Information Within Their Areas of Expertise.............................................2-2 Characteristics of Effective Staff Members ...............................................................2-6 Staff Relationships.....................................................................................................2-7 Staff Organization and Structure ...............................................................................2-7 Types of Staffs and Their Functions..........................................................................2-8 Augmentation ..........................................................................................................2-33 Conclusion...............................................................................................................2-34,1147,287,doctrinal_explanation;operational_context,qa;staff_advice,medium,staff,참모,Chapter 2 관련 교리 내용을 설명하는 청크.,"Document: FM 6-0, Commander and Staff Organization and Operations
Chapter: Chapter 2
Section: 
Subsection: 
Type: main_text
Keywords: staff
Text: STAFF ORGANIZATION AND ROLES .................................................................... 2-1 Purpose of Staffs.......................................................................................................2-1 Common Staff Duties and Responsibilities ...............................................................2-2 Managing Information Within Their Areas of Expertise.............................................2-2 Characteristics of Effective Staff Members ...............................................................2-6 Staff Relationships.....................................................................................................2-7 Staff Organization and Structure ...............................................................................2-7 Types of Staffs and Their Functions..........................................................................2-8 Augmentation ..........................................................................................................2-33 Conclusion...............................................................................................................2-34","FM 6-0 (16 May 2022), FM 6-0, d: STAFF ORGANIZATION AND ROLES .................................................................... 2-1 Purpose of Staffs.......................................................................................................2-1 Common Staff Duties and Responsibilities ...............................................................2-2 Managing Information Within Their Areas of Expertise.............................................2-2 Characteristics",public,Use only as doctrinal reference; do not infer classified or current unit-specific procedures beyond the cited text.,"FM 6-0, d",en,complete,NO,v1,2026-05-07,2026-05-07
FM6_0_2022_BODY_0008,FM6_0_2022_STRUCT_0313,FM6_0_2022,"FM 6-0, Commander and Staff Organization and Operations",FM 6-0,16 May 2022,"Headquarters, Department of the Army",ARN35404-FM_6-0-000-WEB-1.pdf,3,3,d,d,Chapter 3,,,main_text,LIAISON .................................................................................................................... 3-1 Role of Liaison...........................................................................................................3-1 Liaison Element .........................................................................................................3-1 Functions of Liaison...................................................................................................3-3 Liaison Responsibilities .............................................................................................3-5 Special Considerations............................................................................................3-10 Conclusion...............................................................................................................3-12,869,218,doctrinal_explanation;operational_context,qa;staff_advice,medium,liaison,연락장교,Chapter 3 관련 교리 내용을 설명하는 청크.,"Document: FM 6-0, Commander and Staff Organization and Operations
Chapter: Chapter 3
Section: 
Subsection: 
Type: main_text
Keywords: liaison
Text: LIAISON .................................................................................................................... 3-1 Role of Liaison...........................................................................................................3-1 Liaison Element .........................................................................................................3-1 Functions of Liaison...................................................................................................3-3 Liaison Responsibilities .............................................................................................3-5 Special Considerations............................................................................................3-10 Conclusion...............................................................................................................3-12","FM 6-0 (16 May 2022), FM 6-0, d: LIAISON .................................................................................................................... 3-1 Role of Liaison...........................................................................................................3-1 Liaison Element .........................................................................................................3-1 Functions of Liaison..................................................",public,Use only as doctrinal reference; do not infer classified or current unit-specific procedures beyond the cited text.,"FM 6-0, d",en,complete,NO,v1,2026-05-07,2026-05-07
FM6_0_2022_BODY_0009,FM6_0_2022_STRUCT_0638,FM6_0_2022,"FM 6-0, Commander and Staff Organization and Operations",FM 6-0,16 May 2022,"Headquarters, Department of the Army",ARN35404-FM_6-0-000-WEB-1.pdf,3,3,d,d,Chapter 4,,,main_text,BATTLE RHYTHM AND MEETINGS ....................................................................... 4-1 Battle Rhythm ............................................................................................................4-1 Meetings ....................................................................................................................4-6 Conclusion...............................................................................................................4-25,483,121,doctrinal_explanation;operational_context,qa;staff_advice,low,battle rhythm; meeting,전투리듬; 회의,Chapter 4 관련 교리 내용을 설명하는 청크.,"Document: FM 6-0, Commander and Staff Organization and Operations
Chapter: Chapter 4
Section: 
Subsection: 
Type: main_text
Keywords: battle rhythm, meeting
Text: BATTLE RHYTHM AND MEETINGS ....................................................................... 4-1 Battle Rhythm ............................................................................................................4-1 Meetings ....................................................................................................................4-6 Conclusion...............................................................................................................4-25","FM 6-0 (16 May 2022), FM 6-0, d: BATTLE RHYTHM AND MEETINGS ....................................................................... 4-1 Battle Rhythm ............................................................................................................4-1 Meetings ....................................................................................................................4-6 Conclusion..................................................................................",public,Use only as doctrinal reference; do not infer classified or current unit-specific procedures beyond the cited text.,"FM 6-0, d",en,complete,YES,v1,2026-05-07,2026-05-07
